時刻,重量[kg],気温[℃],湿度[%],気圧[hPa],
2021/04/19(14:46:05),0.186,28.11,21.0,1006.34,
2021/04/19(14:46:06),0.708,28.16,21.0,1006.34,
2021/04/19(14:46:07),1.289,28.15,20.0,1006.35,
2021/04/19(14:46:08),1.639,28.16,21.0,1006.34,
2021/04/19(14:46:09),0.663,28.17,21.0,1006.35,
2021/04/19(14:46:10),0.628,28.2,22.0,1006.32,
2021/04/19(14:46:11),0.656,28.23,22.0,1006.32,
2021/04/19(14:46:12),0.162,28.26,22.0,1006.35,
2021/04/19(14:46:14),0.787,28.43,22.0,1006.66,
2021/04/19(14:46:15),0.315,30.25,23.0,1006.34,
2021/04/19(14:46:16),0.201,30.19,22.0,1006.36,
2021/04/19(14:46:17),0.54,29.75,22.0,1006.34,
2021/04/19(14:46:18),0.075,29.65,23.0,1006.33,
2021/04/19(14:46:20),0.821,29.56,23.0,1006.36,
2021/04/19(14:46:20),0.161,29.52,24.0,1006.33,
